Age_Range,Gender,Education,Employment_Status,AI_Knowledge,AI_Trust,AI_Usage_Scale,Future_AI_Usage,Threaten_Freedoms,Eliminate_Jobs,Job_Affected,Ethical_Limits,AI_Consciousness,Not_AI_App,ML_Algorithm_Knowledge,ChatGPT_Type
18-24,Male,Bachelor's Degree,Student,I have a good level of knowledge,I'm undecided,4,I would like to,Agree,Yes,I definitely think,I'm undecided,Yes,WhatsApp,Game algorithm,Web browser
18-24,Female,Bachelor's Degree,Student,I have basic knowledge,I don't trust it,3,I'm undecided,Agree,Undecided,I'm undecided,Agree,Yes,WhatsApp,HTML,Web browser
18-24,Male,Bachelor's Degree,Student,I have a good level of knowledge,I'm undecided,3,I would like to,Agree,Yes,I'm undecided,Agree,No,WhatsApp,Linear regression,Natural language processing
18-24,Male,Bachelor's Degree,Student,I have basic knowledge,I'm undecided,2,I would like to,I'm undecided,Yes,Think,Agree,Undecided,WhatsApp,HTML,Web browser
18-24,Male,Associate Degree,Student,I've heard a little about it,I'm undecided,1,I would like to,Agree,Yes,I'm undecided,Agree,Undecided,WhatsApp,I do not know,Web browser
18-24,Female,Bachelor's Degree,Student,I have basic knowledge,I don't trust it,3,I would like to,Strongly disagree,Can't handle it,I don't think so,Strongly Agree,No,WhatsApp,Linear regression,Natural language processing
18-24,Male,High School,Student,I have basic knowledge,I'm undecided,2,I would like to,I'm undecided,Yes,I'm undecided,Strongly Agree,No,WhatsApp,I do not know,Natural language processing
18-24,Male,High School,Student,I have a good level of knowledge,I'm undecided,1,I would like to,Agree,Yes,I'm undecided,Agree,No,WhatsApp,Linear regression,Web browser
Under 18 years old,Male,High School,Student,I have basic knowledge,I trust it,3,I'm undecided,I'm undecided,Yes,Definitely I don't think so,Agree,No,WhatsApp,HTML,Image processing
Under 18 years old,Female,Primary Education,Student,I've heard a little about it,I trust it,4,I would like to,I disagree,Yes,I'm undecided,Agree,No,I do not know,I do not know,Web browser
Under 18 years old,Female,Primary Education,Student,I've heard a little about it,I don't trust it at all,1,I would not like to,Strongly Agree,Yes,I don't think so,I'm undecided,Yes,Netflix recommendations,I do not know,Web browser
18-24,Male,Bachelor's Degree,Student,I have a good level of knowledge,I trust it,4,"Definitely, I would like to",I'm undecided,Yes,I definitely think,Strongly Agree,Yes,WhatsApp,Linear regression,Natural language processing
